State,City,Hospital name,Address,Pincode,Contact number,Address,Status geocode,Formatted address,Latitude,Longitude,Type,Street,Postal code,City,Country,Region
Tamil Nadu,Chennai,Right Hospitals,"1, Prof. Subramaniam Street, Kilpauk",600010,9500037647,"1, Prof. Subramaniam Street, Kilpauk",Ok,"1, Professor Subramaniam St, Chetpet, Chennai, Tamil Nadu 600008, India",13.0789033,80.2403136,street_address,Professor Subramaniam Street,600008,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Rmd Specialities Hospital,NO:162 Parvathinagar Amarambedu Kancheepuram.,600069,6381148423,NO:162 Parvathinagar Amarambedu Kancheepuram.,"3 found, use single geocode.","Amarambedu, Tamil Nadu, India",12.9435483,79.9947956,"locality, political",,,Amarambedu,India,Tamil Nadu
Tamil Nadu,Chennai,Royal Balaaji Hospitals,"No.: 7, Clc Works Road, Chromepet Chennai Kanchipuram Tamilnadu
600044",600044,04422412010,"No.: 7, Clc Works Road, Chromepet Chennai Kanchipuram Tamilnadu
600044",Ok,"7, CLC Works Rd, Pallavapuram, New Colony, Chromepet, Chennai, Tamil Nadu 600044, India",12.953034,80.1397075,street_address,CLC Works Road,600044,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Sakthi Hospital And Research Centre,"175, Big Street, Triplicane,",600005,"4,42,84,42,626","175, Big Street, Triplicane,",Ok,"175, Big St, Police Quarters, Triplicane, Chennai, Tamil Nadu 600005, India",13.0570046,80.2757396,street_address,Big Street,600005,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Saraswathy Multi Speciality Hospital,"No.92 /A , Bazaar Road , Sadasivam  Road , Madipakkam , Chennai- 600091.
Tamilnadu",600091,"9790785916/0444860160
3","No.92 /A , Bazaar Road , Sadasivam Road , Madipakkam , Chennai- 600091.
Tamilnadu","2 found, use single geocode.","Bazaar Main Rd, Madipakkam, Chennai, Tamil Nadu 600091, India",12.9652984,80.2062463,route,Bazaar Main Road,600091,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Selvarangam Hospital,C-54 1 St Main Road Anna Nagar Chennai Tamilnadu 600102,600102,9677451609/9551663530,C-54 1 St Main Road Anna Nagar Chennai Tamilnadu 600102,Ok,"c, 54, Vasantham Colony 1st Main Rd, Vasantham Colony, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0954546,80.2044333,subpremise,Vasantham Colony 1st Main Road,600040,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Sen Hospital,"18 Bunder Garden Street, Perambur",600011,04442769724,"18 Bunder Garden Street, Perambur",Ok,"18, Bunder Garden St, Bunder Garden, Perambur, Chennai, Tamil Nadu 600011, India",13.111749,80.2417865,street_address,Bunder Garden Street,600011,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Sooriya Hospital,"No-1, Arunachalam Road, Saligramam",600093,04423761750,"No-1, Arunachalam Road, Saligramam",Ok,"1, Arunachalam Rd, Said Nagar, Shanthi Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0567568,80.2003325,street_address,Arunachalam Road,600093,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Soundarapandian Bone And Joint Hospital And Research Institute Pvt Ltd,"Aa-16, 3Rd Main Rd, Anna Nagar",600040,04442066667,"Aa-16, 3Rd Main Rd, Anna Nagar","Ok, partial match","16, Anna Nagar 3rd Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.090581,80.2153809,street_address,Anna Nagar 3rd Main Road,600040,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Sri Ramachandra Hospital,"No.01, Ramachandra Nagar Porur Chennai",600116,04440012345,"No.01, Ramachandra Nagar Porur Chennai",Ok,"Sri Ramachandra Auditorium, SRI RAMACHANDRA INSTITUTE OF HIGHER EDUCATION AND RESEARCH, 1, Sri Ramachandra Nagar, Porur, Chennai, Tamil Nadu 600116, India",13.0379224,80.1402596,premise,,600116,Chennai,India,Tamil Nadu
